#time	analog (mA)	digital (mA)	status
2022-01-27 14:35:24.777644	0.24	0.16	0
2022-01-27 14:35:24.878719	0.16	0.32	0
2022-01-27 14:35:24.979654	0.24	0.24	0
2022-01-27 14:35:25.080577	0.24	0.16	0
2022-01-27 14:35:25.181482	0.24	0.24	0
2022-01-27 14:35:25.282398	0.24	0.16	0
2022-01-27 14:35:25.383451	0.24	0.16	0
2022-01-27 14:35:25.484406	0.24	0.24	0
2022-01-27 14:35:25.585349	0.24	0.16	0
2022-01-27 14:35:25.686258	0.24	0.16	0
2022-01-27 14:35:25.787172	0.16	0.16	0
2022-01-27 14:35:25.888189	0.16	0.16	0
2022-01-27 14:35:25.989104	0.24	0.16	0
2022-01-27 14:35:26.090032	0.16	0.24	0
2022-01-27 14:35:26.190954	0.24	0.16	0
2022-01-27 14:35:26.291887	0.16	0.16	0
2022-01-27 14:35:26.392883	0.24	0.16	0
2022-01-27 14:35:26.493802	0.16	0.24	0
2022-01-27 14:35:26.594725	0.24	0.16	0
2022-01-27 14:35:26.695626	0.16	0.16	0
2022-01-27 14:35:26.796554	0.24	0.24	0
2022-01-27 14:35:26.897560	0.24	0.24	0
2022-01-27 14:35:26.998479	0.24	0.16	0
2022-01-27 14:35:27.099414	0.16	0.16	0
2022-01-27 14:35:27.200321	0.24	0.24	0
2022-01-27 14:35:27.301240	0.24	0.24	0
2022-01-27 14:35:27.402239	0.24	0.16	0
2022-01-27 14:35:27.503168	0.24	0.16	0
2022-01-27 14:35:27.604128	0.24	0.16	0
2022-01-27 14:35:27.705036	0.24	0.24	0
2022-01-27 14:35:27.805938	0.24	0.16	0
2022-01-27 14:35:27.906929	0.16	0.24	0
2022-01-27 14:35:28.007859	0.16	0.16	0
2022-01-27 14:35:28.108789	0.16	0.16	0
2022-01-27 14:35:28.209689	0.24	0.16	0
2022-01-27 14:35:28.310594	0.24	0.16	0
2022-01-27 14:35:28.411597	0.16	0.24	0
2022-01-27 14:35:28.512542	0.24	0.24	0
2022-01-27 14:35:28.613476	0.24	0.16	0
2022-01-27 14:35:28.714375	0.24	0.24	0
2022-01-27 14:35:28.815279	0.24	0.16	0
2022-01-27 14:35:28.916301	0.24	0.16	0
2022-01-27 14:35:29.017217	0.24	0.16	0
2022-01-27 14:35:29.118123	0.24	0.16	0
2022-01-27 14:35:29.219018	0.24	0.16	0
2022-01-27 14:35:29.320981	0.24	0.24	0
2022-01-27 14:35:29.423164	0.24	0.24	0
2022-01-27 14:35:29.525245	0.16	0.16	0
2022-01-27 14:35:29.627254	0.24	0.16	0
2022-01-27 14:35:29.729281	0.16	0.24	0
