#time	analog (mA)	digital (mA)	status
2022-02-01 12:54:04.639825	13.05	67.27	1
2022-02-01 12:54:04.740995	12.89	67.27	1
2022-02-01 12:54:04.841934	12.65	67.43	1
2022-02-01 12:54:04.942856	13.37	68.08	1
2022-02-01 12:54:05.043787	13.21	66.79	1
2022-02-01 12:54:05.144715	12.81	66.87	1
2022-02-01 12:54:05.245818	13.37	66.79	1
2022-02-01 12:54:05.346739	13.78	67.43	1
2022-02-01 12:54:05.447646	12.89	66.79	1
2022-02-01 12:54:05.548547	12.89	66.87	1
2022-02-01 12:54:05.649464	13.13	67.60	1
2022-02-01 12:54:05.750550	12.25	67.19	1
2022-02-01 12:54:05.851473	12.81	67.11	1
2022-02-01 12:54:05.952438	13.86	67.68	1
2022-02-01 12:54:06.053343	13.45	66.23	1
2022-02-01 12:54:06.154257	12.81	67.92	1
2022-02-01 12:54:06.255353	13.13	66.71	1
2022-02-01 12:54:06.356296	13.29	67.19	1
2022-02-01 12:54:06.457202	13.05	67.43	1
2022-02-01 12:54:06.558103	12.97	67.27	1
2022-02-01 12:54:06.659027	12.33	66.95	1
2022-02-01 12:54:06.760108	13.21	67.43	1
2022-02-01 12:54:06.861052	12.25	66.95	1
2022-02-01 12:54:06.961956	13.13	67.19	1
2022-02-01 12:54:07.062856	12.97	67.51	1
2022-02-01 12:54:07.163783	12.89	67.03	1
2022-02-01 12:54:07.264938	13.21	67.27	1
2022-02-01 12:54:07.365890	12.81	67.11	1
2022-02-01 12:54:07.466815	13.05	67.27	1
2022-02-01 12:54:07.567724	13.45	67.76	1
2022-02-01 12:54:07.668672	13.37	67.51	1
2022-02-01 12:54:07.769675	12.97	67.11	1
2022-02-01 12:54:07.870592	13.37	66.95	1
2022-02-01 12:54:07.971502	12.97	68.32	1
2022-02-01 12:54:08.072463	13.29	67.84	1
2022-02-01 12:54:08.173364	13.05	67.60	1
2022-02-01 12:54:08.274388	12.97	68.00	1
2022-02-01 12:54:08.375316	13.13	67.84	1
2022-02-01 12:54:08.476260	13.05	66.79	1
2022-02-01 12:54:08.577171	12.49	67.60	1
2022-02-01 12:54:08.678079	13.62	67.43	1
2022-02-01 12:54:08.779177	13.45	67.76	1
2022-02-01 12:54:08.880138	13.21	67.92	1
2022-02-01 12:54:08.981077	13.29	67.03	1
2022-02-01 12:54:09.081978	12.97	67.76	1
2022-02-01 12:54:09.182978	12.57	67.11	1
2022-02-01 12:54:09.285224	14.10	67.60	1
2022-02-01 12:54:09.387250	13.05	67.43	1
2022-02-01 12:54:09.489237	12.89	67.43	1
2022-02-01 12:54:09.591301	12.97	67.19	1
