#time	analog (mA)	digital (mA)	status
2022-01-31 14:46:09.944235	15.07	65.02	1
2022-01-31 14:46:10.045347	16.03	64.69	1
2022-01-31 14:46:10.146293	14.90	64.53	1
2022-01-31 14:46:10.247220	14.90	65.42	1
2022-01-31 14:46:10.348184	15.23	65.74	1
2022-01-31 14:46:10.449104	15.47	65.34	1
2022-01-31 14:46:10.550111	15.23	65.58	1
2022-01-31 14:46:10.651034	15.63	65.26	1
2022-01-31 14:46:10.751980	15.15	65.26	1
2022-01-31 14:46:10.852903	14.99	65.66	1
2022-01-31 14:46:10.953809	15.63	65.82	1
2022-01-31 14:46:11.054812	15.71	65.42	1
2022-01-31 14:46:11.155737	13.86	64.78	1
2022-01-31 14:46:11.256680	14.99	64.69	1
2022-01-31 14:46:11.357602	14.66	65.18	1
2022-01-31 14:46:11.458522	15.63	65.02	1
2022-01-31 14:46:11.559531	14.99	65.02	1
2022-01-31 14:46:11.660487	15.23	65.66	1
2022-01-31 14:46:11.761426	15.71	65.82	1
2022-01-31 14:46:11.862324	15.47	65.58	1
2022-01-31 14:46:11.963260	14.90	65.34	1
2022-01-31 14:46:12.064276	15.31	64.78	1
2022-01-31 14:46:12.165212	15.23	64.69	1
2022-01-31 14:46:12.266127	14.99	65.26	1
2022-01-31 14:46:12.367074	14.90	65.66	1
2022-01-31 14:46:12.468007	14.50	65.34	1
2022-01-31 14:46:12.569003	15.63	65.18	1
2022-01-31 14:46:12.669920	14.50	65.74	1
2022-01-31 14:46:12.770864	15.31	65.42	1
2022-01-31 14:46:12.871786	14.74	65.66	1
2022-01-31 14:46:12.972708	14.99	65.18	1
2022-01-31 14:46:13.073693	15.07	65.34	1
2022-01-31 14:46:13.174622	14.82	65.90	1
2022-01-31 14:46:13.275551	15.71	65.66	1
2022-01-31 14:46:13.376494	14.74	64.45	1
2022-01-31 14:46:13.477411	15.31	64.69	1
2022-01-31 14:46:13.578411	14.58	65.26	1
2022-01-31 14:46:13.679353	15.79	65.18	1
2022-01-31 14:46:13.780289	15.39	65.82	1
2022-01-31 14:46:13.881201	15.79	64.78	1
2022-01-31 14:46:13.982141	14.82	66.15	1
2022-01-31 14:46:14.083153	15.15	65.34	1
2022-01-31 14:46:14.184075	15.39	65.58	1
2022-01-31 14:46:14.284988	15.55	65.34	1
2022-01-31 14:46:14.385897	14.90	65.58	1
2022-01-31 14:46:14.486891	15.07	64.69	1
2022-01-31 14:46:14.589086	15.39	65.10	1
2022-01-31 14:46:14.691140	14.99	65.34	1
2022-01-31 14:46:14.793233	15.79	65.34	1
2022-01-31 14:46:14.895246	15.23	64.53	1
