# value	current [nA]
0	0.006750
1	0.007500
2	0.030750
3	0.048750
4	0.057750
5	0.071250
6	0.089250
7	0.099750
8	0.116250
9	0.129750
10	0.143250
11	0.157500
12	0.168000
13	0.185250
14	0.195750
15	0.211500
16	0.224250
17	0.240750
18	0.252750
19	0.267000
20	0.280500
21	0.298500
22	0.312000
23	0.323250
24	0.336000
25	0.349500
26	0.363000
27	0.378000
28	0.392250
29	0.404250
30	0.420750
31	0.435000
32	0.450000
33	0.465000
34	0.477000
35	0.491250
36	0.504000
37	0.516000
38	0.528750
39	0.543000
40	0.556500
41	0.571500
42	0.586500
43	0.600750
44	0.610500
45	0.624000
46	0.641250
47	0.657000
48	0.668250
49	0.678000
50	0.696750
51	0.709500
52	0.721500
53	0.733500
54	0.750750
55	0.762000
56	0.774750
57	0.791250
58	0.804000
59	0.817500
60	0.830250
61	0.843000
62	0.856500
63	0.869250
64	0.881250
65	0.897750
66	0.905250
67	0.922500
68	0.936000
69	0.951000
70	0.962250
71	0.972750
72	0.991500
73	1.002750
74	1.015500
75	1.030500
76	1.042500
77	1.059000
78	1.071000
79	1.086750
80	1.097250
81	1.112250
82	1.124250
83	1.137000
84	1.152750
85	1.162500
86	1.178250
87	1.193250
88	1.203750
89	1.213500
90	1.230750
91	1.242000
92	1.257750
93	1.272750
94	1.284750
95	1.298250
96	1.311000
97	1.323000
98	1.335750
99	1.353000
100	1.365750
101	1.377750
102	1.391250
103	1.400250
104	1.416750
105	1.429500
106	1.440000
107	1.456500
108	1.474500
109	1.484250
110	1.495500
111	1.513500
112	1.523250
113	1.533750
114	1.548750
115	1.563000
116	1.581750
117	1.587000
118	1.600500
119	1.618500
120	1.629000
121	1.644000
122	1.655250
123	1.670250
124	1.680750
125	1.694250
126	1.704750
127	1.719750
128	1.731750
129	1.745250
130	1.761750
131	1.772250
132	1.786500
133	1.796250
134	1.814250
135	1.827750
136	1.839000
137	1.850250
138	1.867500
139	1.878750
140	1.890000
141	1.905750
142	1.921500
143	1.932000
144	1.942500
145	1.962000
146	1.972500
147	1.986750
148	1.996500
149	2.008500
150	2.021250
151	2.037000
152	2.048250
153	2.062500
154	2.075250
155	2.089500
156	2.104500
157	2.118750
158	2.130750
159	2.142000
160	2.157750
161	2.166750
162	2.181000
163	2.190750
164	2.211000
165	2.223000
166	2.232750
167	2.247750
168	2.262750
169	2.276250
170	2.285250
171	2.301000
172	2.316750
173	2.327250
174	2.338500
175	2.354250
176	2.363250
177	2.381250
178	2.393250
179	2.407500
180	2.420250
181	2.433000
182	2.445000
183	2.457750
184	2.470500
185	2.481000
186	2.496750
187	2.511000
188	2.522250
189	2.531250
190	2.547000
191	2.562750
192	2.577750
193	2.588250
194	2.597250
195	2.614500
196	2.625750
197	2.640000
198	2.652750
199	2.661750
200	2.676000
201	2.693250
202	2.703750
203	2.718000
204	2.729250
205	2.745750
206	2.754750
207	2.766000
208	2.778000
209	2.791500
210	2.807250
211	2.820750
212	2.832000
213	2.846250
214	2.862000
215	2.873250
216	2.885250
217	2.897250
218	2.910750
219	2.922750
220	2.936250
221	2.949000
222	2.961000
223	2.973750
224	2.988000
225	3.000000
226	3.013500
227	3.024000
228	3.033750
229	3.034500
230	3.035250
231	3.035250
232	3.036000
233	3.036000
234	3.036000
235	3.036000
236	3.036000
237	3.036000
238	3.036000
239	3.036000
240	3.036750
241	3.036750
242	3.036750
243	3.036750
244	3.036750
245	3.036750
246	3.036750
247	3.036750
248	3.036750
249	3.036750
250	3.036750
251	3.036750
252	3.036750
253	3.036750
254	3.036750
255	3.036750
