#time	analog (mA)	digital (mA)	status
2022-02-01 13:48:28.085286	13.78	65.58	1
2022-02-01 13:48:28.186411	14.10	65.42	1
2022-02-01 13:48:28.287363	13.54	65.18	1
2022-02-01 13:48:28.388321	14.34	64.94	1
2022-02-01 13:48:28.489247	14.18	64.86	1
2022-02-01 13:48:28.590188	13.62	64.21	1
2022-02-01 13:48:28.691213	13.37	64.21	1
2022-02-01 13:48:28.792164	14.26	64.13	1
2022-02-01 13:48:28.893111	13.45	64.94	1
2022-02-01 13:48:28.994029	13.94	65.02	1
2022-02-01 13:48:29.094955	13.94	65.10	1
2022-02-01 13:48:29.196010	14.10	64.61	1
2022-02-01 13:48:29.296961	13.70	65.02	1
2022-02-01 13:48:29.397881	13.62	65.42	1
2022-02-01 13:48:29.498806	12.65	65.58	1
2022-02-01 13:48:29.599735	13.45	64.94	1
2022-02-01 13:48:29.700788	14.42	64.69	1
2022-02-01 13:48:29.801728	13.70	65.10	1
2022-02-01 13:48:29.902657	13.54	64.94	1
2022-02-01 13:48:30.003579	13.94	64.69	1
2022-02-01 13:48:30.104512	13.05	64.61	1
2022-02-01 13:48:30.205526	13.70	64.86	1
2022-02-01 13:48:30.306451	14.02	65.26	1
2022-02-01 13:48:30.407365	14.10	64.69	1
2022-02-01 13:48:30.508305	13.70	64.94	1
2022-02-01 13:48:30.609218	14.26	64.29	1
2022-02-01 13:48:30.710217	13.05	65.34	1
2022-02-01 13:48:30.811136	13.45	65.42	1
2022-02-01 13:48:30.912067	13.37	65.18	1
2022-02-01 13:48:31.012994	13.86	65.18	1
2022-02-01 13:48:31.113901	13.54	65.18	1
2022-02-01 13:48:31.214893	13.94	64.37	1
2022-02-01 13:48:31.315821	13.86	64.86	1
2022-02-01 13:48:31.416740	13.29	65.10	1
2022-02-01 13:48:31.517649	13.70	66.39	1
2022-02-01 13:48:31.618572	13.62	64.53	1
2022-02-01 13:48:31.719600	14.34	64.78	1
2022-02-01 13:48:31.820549	14.26	65.66	1
2022-02-01 13:48:31.921486	13.86	65.26	1
2022-02-01 13:48:32.022405	13.54	64.21	1
2022-02-01 13:48:32.123322	14.26	65.26	1
2022-02-01 13:48:32.224320	13.62	65.02	1
2022-02-01 13:48:32.325246	14.26	65.74	1
2022-02-01 13:48:32.426172	14.50	65.10	1
2022-02-01 13:48:32.527087	13.94	65.26	1
2022-02-01 13:48:32.628112	13.70	65.26	1
2022-02-01 13:48:32.730217	13.94	65.18	1
2022-02-01 13:48:32.832330	13.70	65.10	1
2022-02-01 13:48:32.934358	13.86	65.18	1
2022-02-01 13:48:33.036483	13.70	65.18	1
