#time	analog (mA)	digital (mA)	status
2022-02-01 13:24:08.163676	16.11	66.79	1
2022-02-01 13:24:08.264905	15.95	66.31	1
2022-02-01 13:24:08.365862	15.95	67.27	1
2022-02-01 13:24:08.466792	15.87	67.11	1
2022-02-01 13:24:08.567738	15.31	66.95	1
2022-02-01 13:24:08.668737	15.47	67.19	1
2022-02-01 13:24:08.769871	16.03	66.95	1
2022-02-01 13:24:08.870792	15.55	67.27	1
2022-02-01 13:24:08.971707	15.47	67.84	1
2022-02-01 13:24:09.072628	15.63	67.11	1
2022-02-01 13:24:09.173566	15.79	66.55	1
2022-02-01 13:24:09.274681	16.03	66.87	1
2022-02-01 13:24:09.375596	15.95	66.95	1
2022-02-01 13:24:09.476529	15.95	66.95	1
2022-02-01 13:24:09.577481	16.52	67.11	1
2022-02-01 13:24:09.678391	16.60	66.63	1
2022-02-01 13:24:09.779518	15.55	66.15	1
2022-02-01 13:24:09.880523	15.55	66.47	1
2022-02-01 13:24:09.981450	16.03	67.76	1
2022-02-01 13:24:10.082357	15.47	67.03	1
2022-02-01 13:24:10.183318	16.27	67.03	1
2022-02-01 13:24:10.284456	16.11	66.95	1
2022-02-01 13:24:10.385395	15.71	66.79	1
2022-02-01 13:24:10.486334	15.15	67.27	1
2022-02-01 13:24:10.587270	15.63	66.95	1
2022-02-01 13:24:10.688232	15.47	67.19	1
2022-02-01 13:24:10.789375	15.71	66.95	1
2022-02-01 13:24:10.890291	16.19	66.71	1
2022-02-01 13:24:10.991212	15.71	66.63	1
2022-02-01 13:24:11.092164	15.71	66.95	1
2022-02-01 13:24:11.193101	15.55	68.00	1
2022-02-01 13:24:11.294198	16.76	66.79	1
2022-02-01 13:24:11.395122	16.52	66.95	1
2022-02-01 13:24:11.496086	15.63	67.27	1
2022-02-01 13:24:11.597003	16.27	66.95	1
2022-02-01 13:24:11.697911	15.47	66.71	1
2022-02-01 13:24:11.799013	16.03	67.11	1
2022-02-01 13:24:11.899978	16.68	66.39	1
2022-02-01 13:24:12.000898	15.71	66.47	1
2022-02-01 13:24:12.101862	15.31	67.03	1
2022-02-01 13:24:12.202815	15.15	67.43	1
2022-02-01 13:24:12.303938	15.87	66.95	1
2022-02-01 13:24:12.404868	15.07	67.27	1
2022-02-01 13:24:12.505775	16.35	67.11	1
2022-02-01 13:24:12.606692	16.27	66.47	1
2022-02-01 13:24:12.707624	16.52	67.03	1
2022-02-01 13:24:12.809775	15.79	66.39	1
2022-02-01 13:24:12.911838	15.79	66.87	1
2022-02-01 13:24:13.013794	15.79	67.68	1
2022-02-01 13:24:13.115874	15.55	67.03	1
